지역,연도,배출원,PM10,PM2.5
인천광역시,2011,비도로이동오염원,705406,649104
인천광역시,2011,폐기물처리,10804,9447
인천광역시,2011,기타 면오염원,11335,10201
인천광역시,2012,에너지산업 연소,489622,446760
인천광역시,2012,비산업 연소,54720,41413
인천광역시,2012,제조업 연소,272382,109813
인천광역시,2012,생산공정,227010,158742
인천광역시,2012,도로이동오염원,439230,404092
인천광역시,2012,비도로이동오염원,537533,494530
인천광역시,2012,폐기물처리,10201,8765
인천광역시,2012,기타 면오염원,9951,8955
인천광역시,2013,에너지산업 연소,526859,484647
인천광역시,2013,비산업 연소,40854,32646
인천광역시,2013,제조업 연소,239241,98986
인천광역시,2013,생산공정,228604,160063
인천광역시,2013,도로이동오염원,377341,347154
인천광역시,2013,비도로이동오염원,604749,556369
인천광역시,2013,폐기물처리,9934,8476
인천광역시,2013,기타 면오염원,9634,8670
인천광역시,2014,에너지산업 연소,507581,456770
인천광역시,2014,비산업 연소,44374,32708
인천광역시,2014,제조업 연소,144168,58309
인천광역시,2014,생산공정,239849,167413
인천광역시,2014,도로이동오염원,317765,292344
인천광역시,2014,비도로이동오염원,447640,409508
인천광역시,2014,폐기물처리,14479,12448
인천광역시,2014,기타 면오염원,11439,10295
인천광역시,2015,에너지산업 연소,492068,427243
인천광역시,2015,비산업 연소,41409,31017
인천광역시,2015,제조업 연소,203071,88133
인천광역시,2015,생산공정,258933,181120
인천광역시,2015,도로이동오염원,336129,309239
인천광역시,2015,비도로이동오염원,715545,657329
인천광역시,2015,폐기물처리,9709,8307
인천광역시,2015,기타 면오염원,12078,10871
인천광역시,2015,비산먼지,6074100,894050
인천광역시,2015,생물성 연소,148480,122205
인천광역시,2016,에너지산업 연소,419543,369633
인천광역시,2016,비산업 연소,39541,30156
인천광역시,2016,제조업 연소,100602,43208
인천광역시,2016,생산공정,208544,141423
인천광역시,2016,도로이동오염원,332976,306338
인천광역시,2016,비도로이동오염원,524981,482642
인천광역시,2016,폐기물처리,9945,8407
인천광역시,2016,기타 면오염원,12203,10983
인천광역시,2016,비산먼지,4532449,751630
인천광역시,2016,생물성 연소,125697,102614
인천광역시,2017,에너지산업 연소,396518,344546
인천광역시,2017,비산업 연소,38851,30072
인천광역시,2017,제조업 연소,15947,14122
인천광역시,2017,생산공정,195653,130270
인천광역시,2017,도로이동오염원,352405,324213
인천광역시,2017,비도로이동오염원,1140771,1058373
인천광역시,2017,폐기물처리,9783,8442
인천광역시,2017,기타 면오염원,10365,9328
인천광역시,2017,비산먼지,7385269,1104053
인천광역시,2017,생물성 연소,130928,107649
인천광역시,2018,에너지산업 연소,339020,301881
인천광역시,2018,비산업 연소,39796,31437
인천광역시,2018,제조업 연소,15452,14340
인천광역시,2018,생산공정,225935,156517
인천광역시,2018,도로이동오염원,378542,348259
인천광역시,2018,비도로이동오염원,855391,791869
인천광역시,2018,폐기물처리,5940,5034
인천광역시,2018,기타 면오염원,10012,9011
인천광역시,2018,비산먼지,5604370,938649
인천광역시,2018,생물성 연소,127037,104133
인천광역시,2019,에너지산업 연소,330114,293835
인천광역시,2019,비산업 연소,39225,31263
인천광역시,2019,제조업 연소,13534,12629
인천광역시,2019,생산공정,146566,101926
인천광역시,2019,도로이동오염원,234178,215443
인천광역시,2019,비도로이동오염원,929477,858278
인천광역시,2019,폐기물처리,8637,7338
인천광역시,2019,기타 면오염원,9461,8515
인천광역시,2019,비산먼지,5363562,912712
인천광역시,2019,생물성 연소,128741,106157
광주광역시,2011,에너지산업 연소,2435,2435
광주광역시,2011,비산업 연소,69749,37453
광주광역시,2011,제조업 연소,1957,1298
광주광역시,2011,생산공정,588,524
광주광역시,2011,도로이동오염원,224028,206106
광주광역시,2011,비도로이동오염원,127376,117268
광주광역시,2011,폐기물처리,2263,1808
광주광역시,2011,기타 면오염원,7592,6833
광주광역시,2012,에너지산업 연소,2070,2070
광주광역시,2012,비산업 연소,60142,34926
광주광역시,2012,제조업 연소,1136,914
광주광역시,2012,생산공정,612,544
광주광역시,2012,도로이동오염원,239203,220066
광주광역시,2012,비도로이동오염원,180729,166270
광주광역시,2012,폐기물처리,3487,2880
광주광역시,2012,기타 면오염원,6797,6117
광주광역시,2013,에너지산업 연소,4003,4003
광주광역시,2013,비산업 연소,59684,36924
광주광역시,2013,제조업 연소,1888,1431
광주광역시,2013,생산공정,679,608
광주광역시,2013,도로이동오염원,217761,200340
광주광역시,2013,비도로이동오염원,168841,155333
광주광역시,2013,폐기물처리,3233,2739
