,시군구,PM10,PM25
91,상주시,36.05651494126669,21.533531213483545
92,서구,41.778719469555,23.036359945767614
93,서구_x000D_,32.69055747171703,18.486275926457704
94,서귀포,35.07085417148158,19.582463293317797
95,서귀포시,32.268222885789505,16.6135931780354
96,서대문구,38.89953494528873,22.002353774860378
97,서산시,39.24825105561865,19.738410802273158
98,서울,46.634421187747655,24.60136842769804
99,서천군,37.393731169500086,19.613325922917998
100,서초구,42.62149023916967,22.45042730773842
101,성남시,43.74784265041576,22.464862895735322
102,성동구,41.60393989353114,23.088839525037343
103,성북구,42.22376216904509,22.81104176133994
104,성주군,30.34678916869343,19.271831706820816
105,세종,42.17321159382878,23.205327175440583
106,세종시,41.53189302033802,21.348343016212375
107,속초시,32.32059072239906,13.735094235780775
108,송파구,39.69900991032246,21.727111507283443
109,수성구,37.64989266107747,21.22704278550555
110,수영구,38.29138460627737,21.84210010382102
111,수원시,45.71402184447381,23.714081287716912
112,순창군,35.37062859405831,20.851999123307564
113,순천시,34.30439726377087,19.080806270334865
114,시흥시,47.45219240590722,26.522876094936297
115,신안군,30.079928975159337,15.499540415779695
116,아산시,48.5660314148012,26.93704265698865
117,안동시,33.86481308957816,19.2575935549046
118,안산시,46.40986002031057,24.002098494997888
119,안성시,47.21261026318037,26.312153479810384
120,안양시,46.44463908964008,23.42283418107913
121,양구군,29.53230413105738,16.311068668355567
122,양산시,43.47689647519298,22.427826796397053
123,양양군,27.505416066027667,13.255904526227846
124,양주시,42.91730884038163,24.23561283770723
125,양천구,41.519213528813836,24.097606001604206
126,양평군,41.498362059969885,22.707189046807553
127,여수시,31.70825269448336,17.96114325256908
128,여주시,46.64772076593984,27.40775260550147
129,연수구,40.02658776004383,21.571317001229698
130,연수구_x000D_,31.265958827407612,17.470977805394803
131,연제구,41.19141372441381,23.010895216531033
132,연천군,36.81184529629427,19.494081267206774
133,영광군,38.457668811959145,22.63931983182255
134,영덕군,28.129768646196496,15.547863483360446
135,영도구,35.88048517220028,18.409838108982605
136,영동군,36.91229019442233,21.832809241098197
137,영등포구,43.25438796374863,24.004908895025174
138,영암군,41.734520531252876,25.11596617722058
139,영양군,26.34157119228724,12.480613588681836
140,영월군,34.529911807389695,19.72822793756048
141,영주시,41.290593742613105,24.34830285544461
142,영천시,34.146219407384784,18.42432336629158
143,예산군,39.997310551589415,22.784318200400165
144,예천군,31.60622863227185,16.070420182206615
145,오산시,43.306140317722935,24.50692356314862
146,옥천군,37.90960443176041,23.618037898525287
147,옹진군,37.70211021093757,19.681626005577495
148,완도군,27.602696592577068,13.104134690315897
149,완주군,37.753488699270065,21.31804839296961
150,용산구,40.48948448246549,22.974827056903433
151,용인시,46.15874349630757,24.92307313552926
152,울릉군,33.375568616422136,14.598843496598878
153,울주군,40.13432674660788,21.445019467122762
154,울진군,27.65826701200728,12.775939680741237
155,원주시,44.91694800317792,27.348329024161497
156,유성구,40.90667659789986,21.031431353696522
157,은평구,39.283816480949184,22.495246514685032
158,음성군,41.38415342600841,23.91224481078685
159,의령군,25.854906845497837,14.818415233000062
160,의성군,28.945663665514395,16.6404577826145
161,의왕시,42.69314304448157,23.935094264554944
162,의정부시,46.46793125461317,24.711517277347003
163,이천시,45.091481463803426,26.119478800474894
164,익산시,47.75001729844418,29.6601171543203
165,인제군,27.035042345138237,14.323447557605222
166,임실군,36.06585313823816,19.632065842089556
167,장성군,34.58571045038106,19.71658723438225
168,장수군,32.869326679211284,18.793730853565965
169,장흥군,31.785297688819636,18.934021617205893
170,전주시,46.2136762065329,26.04069197246476
171,정선군,31.538223988658217,17.391560906563225
172,정읍시,39.00337082943627,23.194580653885453
173,제주,36.49706301168249,18.527971318718492
174,제주시,38.42779829259052,19.642321565523257
175,제천시,39.61646743078566,23.62296151888576
176,종로구,38.03150502663225,21.656313995408663
177,중구,40.08842963496639,22.29587091973157
178,중랑구,38.06096275254216,21.211771718895342
179,증평군,41.490505864128956,26.271794246432385
180,진도군,31.017073830792423,13.968422626411535
181,진안군,34.69105102012164,18.64184017647934
182,진주시,40.18458843876751,20.08187892588293
183,진천군,40.80276425906153,24.619398901044484
184,창녕군,30.058332734977668,18.58415996007013
185,창원시,40.88202761204001,21.115891827378388
186,천안시,46.70866202379546,26.93744786191062
187,철원군,35.92157097606884,19.484825756526035
188,청,38.845813367022146,25.68667819094054
189,청도군,30.01628338586879,17.167737616765567
190,청송군,26.755789383468866,13.036400253496433
191,청양군,36.21438262279109,22.445076604932133
